building_type,central_ac_yn,sq_ft_first_floor,sq_ft_second_floor,bathrooms,bedrooms,year_sold,sale_price
OneFam,Y,780,420,1,4,2008,119000
OneFam,Y,884,884,2,3,2008,224900
OneFam,Y,860,869,2,3,2007,200000
OneFam,N,756,378,1,3,2007,126000
OneFam,Y,1144,0,1,3,2006,143000
OneFam,Y,912,0,1,3,2007,129000
OneFam,Y,1122,549,2,4,2006,218000
OneFam,Y,997,473,2,4,2008,135000
OneFam,Y,768,0,1,2,2007,125000
OneFam,Y,864,0,1,3,2007,79275
OneFam,Y,864,0,1,2,2006,115000
OneFam,Y,698,644,2,3,2009,178000
OneFam,Y,1056,0,1,3,2007,139000
OneFam,Y,948,0,1,3,2007,119000
OneFam,Y,1480,0,2,3,2010,214000
OneFam,Y,1285,0,1,3,2007,143500
OneFam,Y,728,728,2,3,2008,189000
OneFam,Y,847,1081,2,4,2007,219500
OneFam,N,864,0,1,2,2010,58500
OneFam,Y,854,444,1,3,2009,122000
OneFam,Y,1008,884,2,3,2008,226750
OneFam,Y,752,752,2,3,2007,166000
Duplex,Y,1949,0,2,6,2006,157000
OneFam,Y,825,0,1,2,2008,125000
OneFam,Y,813,712,2,3,2006,183500
OneFam,Y,1060,185,1,3,2010,100000
OneFam,Y,1179,0,1,2,2007,110000
OneFam,Y,964,0,1,3,2007,137500
OneFam,Y,840,880,2,3,2007,183500
OneFam,Y,1060,0,1,3,2010,154000
OneFam,N,864,0,1,2,2008,67000
OneFam,Y,686,564,1,3,2006,116000
OneFam,N,964,0,1,3,2006,83000
Duplex,Y,964,918,2,4,2009,160000
OneFam,Y,1092,0,1,3,2008,145000
OneFam,Y,1211,0,1,3,2008,134000
OneFam,Y,1053,0,1,3,2007,142100
OneFam,N,1032,0,1,2,2006,125000
OneFam,Y,1506,0,2,3,2007,249000
OneFam,Y,1012,0,1,2,2007,118400
Duplex,Y,1604,0,2,4,2010,135000
OneFam,Y,932,0,1,2,2007,124000
OneFam,Y,864,0,1,3,2009,62383
OneFam,Y,844,893,2,3,2008,175000
OneFam,Y,716,716,1,3,2007,157000
OneFam,Y,872,0,1,3,2007,123000
OneFam,Y,1564,0,2,2,2007,267300
OneFam,Y,952,0,1,3,2007,128500
OneFam,Y,941,896,2,3,2006,187000
OneFam,Y,1088,0,1,2,2007,110000
OneFam,Y,816,0,1,2,2007,124500
OneFam,Y,854,840,2,3,2006,200000
OneFam,Y,770,812,2,3,2008,185900
OneFam,Y,738,753,2,3,2007,168675
OneFam,Y,1330,0,2,3,2007,167840
OneFam,Y,1124,0,1,3,2006,93000
OneFam,Y,882,0,1,3,2007,106500
OneFam,Y,686,702,1,3,2006,157500
OneFam,Y,798,842,2,3,2008,173000
OneFam,Y,1689,0,2,3,2007,231713
OneFam,Y,864,486,1,2,2008,152400
OneFam,Y,832,505,1,3,2010,108000
Duplex,Y,1664,0,2,4,2006,145000
OneFam,Y,985,0,2,3,2008,149900
OneFam,Y,873,778,2,3,2008,185900
Duplex,Y,1712,0,2,4,2006,145000
OneFam,Y,847,1139,2,4,2008,213000
OneFam,Y,991,659,2,3,2007,144100
OneFam,Y,943,0,1,2,2007,134500
Duplex,Y,2020,0,2,4,2007,144000
OneFam,Y,882,0,1,2,2010,126000
OneFam,Y,888,676,2,3,2010,171000
OneFam,Y,1314,0,1,3,2010,145000
OneFam,Y,1484,0,2,3,2010,213000
OneFam,Y,958,670,2,3,2009,189000
OneFam,Y,841,0,1,2,2009,82000
OneFam,Y,810,855,2,3,2009,227000
OneFam,Y,1478,0,1,3,2009,156500
OneFam,Y,1090,917,2,3,2009,160000
OneFam,N,438,0,1,1,2009,60000
OneFam,Y,1537,0,1,3,2008,174000
OneFam,Y,1052,720,2,4,2008,179500
OneFam,Y,1390,304,2,4,2008,136500
OneFam,Y,925,0,1,3,2007,116900
OneFam,Y,913,0,1,3,2007,129000
OneFam,Y,1052,0,1,3,2006,138500
OneFam,Y,898,0,1,3,2006,140000
OneFam,Y,1364,0,1,3,2006,132000
OneFam,Y,784,827,2,3,2006,195800
OneFam,Y,1192,403,1,2,2006,140000
OneFam,Y,789,676,2,3,2010,180400
OneFam,Y,1120,0,1,3,2007,147000
OneFam,N,1088,441,2,4,2009,98000
OneFam,Y,961,406,1,4,2008,119000
OneFam,Y,1026,0,1,2,2007,143000
OneFam,Y,658,526,1,5,2006,81000
OneFam,Y,1220,1142,2,3,2007,312500
OneFam,Y,1068,0,1,3,2006,154500
OneFam,Y,990,0,1,3,2007,146000
OneFam,Y,1040,0,2,3,2009,124000
OneFam,Y,819,695,2,3,2009,190000
OneFam,Y,768,0,1,2,2009,133000
OneFam,Y,1056,0,1,3,2010,142000
OneFam,Y,894,0,1,3,2010,138500
OneFam,Y,827,850,2,3,2008,190500
OneFam,Y,856,854,2,3,2008,208500
OneFam,Y,1436,0,2,3,2008,210000
OneFam,Y,1349,0,2,3,2007,179000
OneFam,Y,1337,0,2,3,2007,185000
OneFam,Y,909,0,1,3,2006,116000
OneFam,Y,754,855,2,3,2008,182000
OneFam,Y,728,728,2,3,2006,163990
OneFam,Y,936,785,2,3,2007,201000
OneFam,Y,972,839,2,3,2009,235000
OneFam,N,1013,0,1,2,2009,85000
OneFam,Y,1212,0,1,3,2006,151000
Duplex,N,816,0,1,2,2010,110000
OneFam,Y,952,0,1,2,2008,135750
OneFam,Y,793,0,1,2,2009,113000
OneFam,Y,886,794,2,3,2008,163000
OneFam,Y,832,384,1,2,2008,118500
OneFam,Y,970,0,1,2,2007,132500
OneFam,Y,1500,0,2,3,2009,190000
OneFam,Y,864,0,1,3,2009,141000
OneFam,Y,616,796,2,3,2007,156932
OneFam,N,649,668,1,3,2008,40000
OneFam,Y,1422,0,2,3,2007,179600
OneFam,N,997,520,2,3,2007,115000
OneFam,Y,1235,0,1,2,2006,98600
OneFam,Y,1050,0,1,3,2009,143000
Duplex,Y,1556,0,2,4,2006,119000
Duplex,N,1800,0,2,6,2008,130000
OneFam,Y,1093,0,1,2,2008,115500
OneFam,Y,910,475,2,4,2010,166000
OneFam,Y,720,0,1,2,2010,105900
OneFam,Y,792,0,1,2,2009,99500
OneFam,Y,968,0,1,2,2007,100000
OneFam,N,1664,862,2,5,2007,136000
OneFam,N,576,360,1,2,2006,78000
OneFam,Y,912,0,1,3,2010,125000
OneFam,N,1024,940,1,4,2008,130000
OneFam,Y,1434,0,2,3,2009,189000
OneFam,Y,804,670,2,3,2009,168500
OneFam,Y,1297,0,1,3,2009,153000
OneFam,N,672,0,1,2,2006,72000
OneFam,Y,1125,0,1,2,2007,155000
OneFam,Y,925,0,1,3,2007,127000
Duplex,N,1040,0,2,2,2009,92900
Duplex,N,1040,0,2,2,2006,81400
Duplex,N,1040,0,2,2,2006,87500
Duplex,N,1040,0,2,2,2006,93500
OneFam,Y,1228,0,1,3,2008,149350
OneFam,Y,1121,0,2,2,2010,140000
OneFam,Y,960,356,1,4,2007,90000
OneFam,Y,816,0,1,2,2006,129800
OneFam,Y,1240,0,2,2,2007,194000
OneFam,Y,1526,0,1,4,2010,144500
OneFam,Y,1232,0,1,3,2009,147500
OneFam,Y,847,886,2,3,2010,185088
OneFam,Y,851,886,2,3,2006,203160
OneFam,Y,907,0,1,3,2008,109008
OneFam,Y,780,596,2,3,2006,119500
Duplex,Y,941,0,1,2,2009,145000
OneFam,Y,968,0,1,2,2007,104500
OneFam,Y,738,738,2,3,2009,173500
OneFam,Y,1072,0,1,2,2009,126500
OneFam,Y,1072,213,1,2,2008,127000
OneFam,Y,947,767,2,3,2007,180000
OneFam,Y,925,0,1,2,2006,133500
OneFam,Y,764,783,2,3,2010,215200
OneFam,Y,932,920,2,3,2009,252678
OneFam,Y,1314,0,2,3,2009,229456
OneFam,Y,1402,0,2,3,2009,229800
OneFam,Y,1372,0,2,3,2008,212700
OneFam,Y,1372,0,2,3,2008,250580
OneFam,Y,1338,0,2,3,2007,208900
OneFam,Y,896,896,2,3,2007,255000
OneFam,Y,1278,0,2,2,2006,198600
OneFam,Y,884,886,1,4,2006,155000
OneFam,Y,1008,881,2,3,2006,215000
OneFam,Y,1324,0,2,3,2006,160000
OneFam,N,928,928,2,5,2009,123000
OneFam,Y,1025,0,2,3,2007,153500
OneFam,Y,897,0,1,3,2007,115000
Duplex,Y,1560,0,2,4,2007,126000
OneFam,Y,910,525,1,3,2007,128250
OneFam,Y,894,0,1,3,2007,117600
OneFam,Y,1425,0,2,3,2006,193000
OneFam,Y,1616,0,2,3,2006,232000
OneFam,Y,1418,0,2,3,2008,226001
OneFam,Y,1128,0,2,3,2008,155000
OneFam,Y,888,0,1,3,2007,120000
OneFam,Y,926,678,2,3,2008,187500
OneFam,N,1093,576,1,4,2006,107000
OneFam,Y,859,319,1,2,2010,102776
OneFam,N,1044,0,1,2,2010,55993
OneFam,Y,952,0,1,3,2010,50138
OneFam,Y,1306,0,1,2,2009,153000
OneFam,Y,1082,0,1,3,2007,162500
OneFam,Y,894,0,1,3,2007,129000
OneFam,Y,872,1037,2,4,2006,197000
OneFam,Y,698,698,1,3,2007,153575
OneFam,Y,1167,0,1,3,2007,144000
OneFam,Y,1553,0,2,3,2009,234500
OneFam,Y,915,720,1,3,2007,210000
OneFam,Y,1005,1286,2,4,2006,230000
OneFam,Y,860,0,1,2,2009,137000
OneFam,Y,864,1131,2,4,2007,219500
Duplex,N,1195,0,2,4,2007,98500
OneFam,Y,798,689,1,3,2010,113000
OneFam,Y,840,885,2,3,2009,198500
OneFam,Y,1459,0,2,3,2007,192000
OneFam,Y,992,940,2,3,2007,213000
OneFam,Y,804,878,2,3,2010,200500
OneFam,Y,1002,0,1,3,2009,148500
OneFam,Y,1202,0,1,3,2009,120000
OneFam,Y,1382,0,1,3,2009,153000
OneFam,Y,928,844,2,3,2009,200000
OneFam,Y,1417,0,2,3,2009,210000
OneFam,Y,909,807,2,2,2009,191000
OneFam,Y,933,975,2,4,2008,210000
OneFam,Y,918,0,1,3,2007,148000
OneFam,Y,1022,1038,2,3,2009,214000
OneFam,Y,1194,0,1,3,2010,148000
OneFam,Y,1144,0,1,3,2009,150000
OneFam,Y,936,0,1,2,2007,141000
OneFam,Y,1500,0,2,3,2007,212999
OneFam,Y,1391,571,2,3,2006,239799
OneFam,N,951,0,1,2,2006,106500
OneFam,Y,1310,0,2,3,2006,164990
OneFam,Y,1190,0,2,2,2007,173500
OneFam,Y,1336,0,2,3,2006,198000
OneFam,Y,1414,0,2,3,2010,185500
OneFam,Y,916,684,2,3,2007,169000
OneFam,Y,990,0,1,3,2007,126000
Duplex,Y,1272,928,2,4,2008,145900
OneFam,N,640,0,1,2,2010,84900
OneFam,Y,1126,0,2,2,2009,108000
OneFam,Y,796,0,1,2,2008,85000
OneFam,Y,760,676,2,3,2006,98000
OneFam,Y,1302,528,2,3,2007,221300
OneFam,Y,833,0,1,3,2009,112000
OneFam,Y,941,0,1,3,2006,129200
OneFam,Y,864,864,2,3,2008,207500
OneFam,Y,980,1276,2,4,2009,236000
OneFam,Y,1054,0,1,3,2010,137500
OneFam,Y,792,348,1,3,2010,96500
OneFam,Y,1040,0,2,3,2009,150500
OneFam,Y,1200,0,2,3,2007,163500
OneFam,Y,845,1309,2,5,2007,224500
OneFam,Y,1251,0,1,3,2006,160000
OneFam,Y,707,809,2,3,2009,181316
OneFam,Y,1390,0,2,3,2006,207000
OneFam,Y,1604,0,2,3,2009,220000
OneFam,Y,732,732,1,4,2008,141000
OneFam,Y,1274,0,2,3,2007,203000
OneFam,Y,1052,0,1,3,2010,155000
OneFam,Y,1121,0,1,3,2009,139000
OneFam,Y,1188,561,1,2,2009,124900
OneFam,Y,985,857,2,3,2007,217500
OneFam,Y,1462,762,2,4,2009,350000
OneFam,Y,1764,0,2,4,2008,100000
OneFam,Y,992,0,1,3,2010,155891
OneFam,Y,914,0,1,2,2006,148000
OneFam,Y,750,750,2,3,2006,173900
OneFam,Y,1538,0,2,3,2007,260000
OneFam,Y,752,624,1,3,2007,165000
OneFam,Y,815,875,1,3,2006,144000
OneFam,N,952,0,1,2,2009,121000
OneFam,Y,1176,0,1,3,2008,136500
OneFam,Y,738,757,2,3,2007,171925
OneFam,Y,912,0,1,2,2008,147000
OneFam,Y,754,630,2,3,2007,161500
OneFam,Y,816,0,1,2,2009,100000
OneFam,Y,1220,0,1,2,2006,102000
OneFam,Y,1222,888,2,3,2010,205000
OneFam,Y,946,927,2,3,2007,207000
OneFam,Y,902,0,1,2,2006,131000
OneFam,Y,910,0,1,3,2008,116000
OneFam,Y,1065,0,1,3,2007,126500
OneFam,Y,948,1140,2,4,2008,250000
OneFam,Y,1340,0,2,3,2007,181134
OneFam,Y,1056,0,1,2,2006,107000
OneFam,Y,1194,0,1,3,2006,159500
Duplex,Y,1584,0,2,4,2006,119000
OneFam,Y,745,745,2,3,2009,167800
OneFam,Y,751,631,2,3,2009,177500
OneFam,Y,1008,0,1,2,2007,134500
OneFam,Y,880,844,2,3,2008,188000
OneFam,Y,1466,0,2,3,2009,201000
OneFam,Y,960,0,1,3,2009,112000
Duplex,Y,1286,368,2,4,2006,119500
Duplex,Y,1318,584,2,4,2010,112000
OneFam,Y,831,829,2,3,2009,195000
Duplex,Y,1344,0,2,2,2008,209200
Duplex,Y,1584,0,2,4,2009,124000
OneFam,Y,1028,0,1,2,2010,115000
OneFam,Y,1175,1540,3,4,2008,299800
OneFam,Y,806,683,2,3,2009,192000
OneFam,Y,1077,0,1,2,2007,67000
OneFam,Y,672,644,1,2,2008,145000
OneFam,Y,825,1315,2,4,2009,177500
OneFam,Y,1053,0,1,3,2006,150000
OneFam,Y,948,0,1,3,2007,108000
OneFam,Y,1040,0,1,3,2007,134900
OneFam,Y,1595,0,2,2,2010,221500
OneFam,Y,1498,0,2,2,2006,204900
OneFam,Y,1324,0,2,3,2007,174000
OneFam,Y,1302,0,2,3,2007,176485
OneFam,Y,782,870,2,3,2008,207500
Duplex,Y,896,896,2,4,2009,136000
Duplex,Y,896,896,2,4,2008,133000
OneFam,Y,1566,0,2,3,2010,262500
OneFam,Y,1157,1111,3,3,2010,240000
OneFam,Y,864,0,1,3,2009,130000
OneFam,Y,786,804,2,3,2009,210000
OneFam,N,784,0,1,2,2009,76000
OneFam,Y,1216,0,1,3,2009,113000
OneFam,Y,1142,0,1,2,2009,113500
OneFam,Y,832,650,1,3,2009,143000
OneFam,N,660,0,1,2,2009,63900
OneFam,Y,1196,0,1,2,2008,139000
OneFam,Y,904,595,1,3,2008,140000
OneFam,Y,1006,0,1,3,2008,80000
OneFam,Y,1151,804,2,4,2008,165500
OneFam,Y,432,432,1,3,2008,65000
OneFam,Y,864,0,1,3,2007,120500
OneFam,Y,1335,0,2,3,2007,210400
OneFam,Y,1088,871,2,3,2007,270000
OneFam,Y,1184,1426,2,4,2007,303477
OneFam,Y,680,494,1,2,2007,135000
OneFam,Y,780,595,1,3,2007,141000
OneFam,N,998,0,1,3,2007,89500
OneFam,Y,1128,0,1,2,2006,118000
OneFam,Y,1089,661,1,3,2006,124000
OneFam,N,819,0,1,2,2006,72000
OneFam,Y,1059,0,1,3,2006,142500
OneFam,N,480,0,0,1,2006,35311
OneFam,Y,1431,0,2,3,2009,192000
OneFam,Y,728,728,2,3,2007,179540
OneFam,Y,636,684,2,3,2006,150000
OneFam,Y,1165,0,1,3,2008,174900
OneFam,Y,1350,0,1,3,2008,168500
OneFam,Y,792,0,1,2,2009,109500
OneFam,Y,813,702,2,3,2008,179000
OneFam,Y,1484,0,2,2,2007,265900
OneFam,Y,1188,1152,2,4,2010,266500
OneFam,Y,943,695,2,3,2008,192000
OneFam,Y,1335,1203,2,4,2007,330000
OneFam,Y,768,768,2,3,2007,167000
OneFam,Y,707,707,2,3,2006,178000
OneFam,Y,698,560,1,2,2009,105000
OneFam,Y,1340,0,1,3,2007,120000
OneFam,Y,942,886,2,3,2007,150909
OneFam,Y,967,671,2,4,2006,139000
OneFam,Y,1004,848,2,3,2008,230000
Duplex,Y,1440,0,2,2,2006,224500
OneFam,Y,996,0,1,2,2010,147000
OneFam,Y,738,754,2,3,2006,185101
OneFam,Y,864,0,1,2,2009,122000
OneFam,Y,755,755,1,4,2009,108000
OneFam,N,616,495,1,3,2008,95000
OneFam,Y,955,677,2,3,2006,176500
OneFam,Y,1094,967,2,3,2009,260000
OneFam,Y,605,0,1,2,2007,86000
Duplex,Y,1728,0,2,6,2006,125000
OneFam,Y,925,0,1,2,2009,117500
OneFam,Y,864,0,1,2,2009,127500
OneFam,Y,1212,0,2,3,2009,178000
OneFam,Y,1112,0,1,2,2009,144800
OneFam,Y,984,0,1,3,2008,128000
OneFam,Y,779,0,1,2,2008,79500
OneFam,Y,1144,0,1,3,2007,120000
OneFam,Y,988,0,1,3,2006,129500
OneFam,Y,864,0,1,3,2006,129900
OneFam,Y,1525,0,2,3,2006,235000
OneFam,Y,1836,0,2,3,2006,216837
OneFam,Y,1110,0,1,1,2009,165500
OneFam,Y,754,786,2,3,2009,184000
OneFam,Y,1491,0,2,3,2006,209000
OneFam,Y,943,933,2,4,2008,185000
OneFam,Y,1261,0,1,3,2008,163000
OneFam,Y,1133,687,2,4,2008,184000
OneFam,Y,812,670,2,3,2007,163900
OneFam,Y,1008,0,1,1,2007,153500
OneFam,Y,800,832,1,4,2008,173000
OneFam,Y,1536,0,2,3,2008,214000
OneFam,Y,1700,0,2,3,2006,200000
OneFam,Y,1432,0,2,3,2009,245000
OneFam,Y,727,380,1,2,2010,110000
OneFam,Y,709,308,1,2,2008,114000
OneFam,Y,1170,546,2,4,2008,162500
OneFam,Y,988,517,1,3,2008,145000
OneFam,Y,1431,0,1,3,2008,165000
OneFam,Y,1489,0,2,3,2009,185750
OneFam,Y,1072,942,2,3,2009,170000
OneFam,Y,1496,0,2,3,2007,225000
OneFam,Y,1214,0,1,2,2007,140000
OneFam,Y,848,750,2,3,2006,201490
OneFam,Y,1468,0,2,3,2009,239900
OneFam,Y,1651,0,2,3,2007,250000
OneFam,Y,882,908,2,3,2008,193000
OneFam,Y,884,0,1,2,2007,144000
OneFam,Y,948,375,1,3,2008,122600
OneFam,Y,1766,0,2,2,2009,370878
OneFam,Y,1080,0,1,3,2007,134000
OneFam,Y,1560,0,2,3,2010,201000
OneFam,Y,1470,1160,2,4,2008,315000
OneFam,Y,1136,0,1,3,2008,140000
OneFam,Y,938,0,1,3,2008,130250
OneFam,Y,1042,0,2,3,2007,161000
OneFam,Y,1144,0,1,3,2008,124000
OneFam,Y,1364,1319,2,4,2008,290000
OneFam,Y,977,755,2,3,2010,178000
OneFam,Y,1218,0,2,2,2010,204500
OneFam,Y,1076,0,1,3,2008,143195
OneFam,Y,1200,0,1,1,2006,146000
OneFam,Y,1540,1315,2,4,2006,405000
OneFam,Y,1494,0,2,3,2006,217000
OneFam,Y,960,0,1,3,2008,144900
OneFam,Y,988,0,2,3,2009,149500
OneFam,Y,1055,1208,2,3,2008,287000
OneFam,Y,1211,0,1,2,2006,144000
OneFam,Y,990,0,1,3,2008,145000
OneFam,Y,939,858,2,3,2007,213500
Duplex,Y,1656,0,2,4,2008,135000
OneFam,Y,858,858,1,4,2008,171000
OneFam,Y,1167,0,2,3,2009,173000
OneFam,Y,1056,0,1,3,2007,139400
OneFam,Y,1721,0,2,3,2007,232698
OneFam,N,756,0,1,2,2010,85000
OneFam,Y,1162,0,2,3,2008,170000
OneFam,Y,932,442,1,3,2008,110000
OneFam,Y,1578,0,2,3,2009,287090
OneFam,Y,856,893,2,3,2006,196000
OneFam,Y,1092,0,1,2,2008,146000
OneFam,Y,1342,0,1,4,2007,125000
OneFam,Y,1268,0,1,3,2009,143500
OneFam,Y,832,878,2,3,2008,187000
Duplex,Y,1728,0,2,4,2006,188000
OneFam,Y,1264,0,1,3,2010,167500
OneFam,Y,888,868,2,3,2007,204000
OneFam,Y,984,0,1,3,2006,126000
OneFam,Y,864,864,2,3,2009,190000
OneFam,Y,1020,0,2,3,2009,124100
OneFam,Y,879,916,2,3,2007,191000
OneFam,Y,1614,0,2,3,2006,225000
OneFam,Y,784,812,2,3,2006,181000
OneFam,Y,1006,769,2,3,2009,213000
OneFam,Y,1029,929,2,3,2007,220000
OneFam,Y,1314,0,2,3,2007,176432
OneFam,Y,1225,0,1,3,2010,128950
OneFam,Y,892,800,2,3,2010,191000
OneFam,Y,905,881,2,3,2007,204750
OneFam,Y,672,0,1,2,2009,113000
OneFam,Y,1615,0,2,3,2008,248500
Duplex,N,864,0,1,2,2008,99600
OneFam,Y,1169,0,1,3,2010,127000
OneFam,Y,1313,0,1,3,2009,153000
OneFam,Y,892,747,1,3,2009,154400
OneFam,Y,1265,0,2,3,2008,179900
OneFam,Y,1302,0,2,3,2007,158000
OneFam,Y,720,720,1,4,2006,157500
OneFam,Y,864,0,1,3,2006,116050
OneFam,Y,1381,0,1,3,2010,197500
OneFam,Y,1287,0,1,2,2009,173000
OneFam,Y,621,648,1,3,2008,134500
OneFam,Y,976,0,1,2,2006,157500
OneFam,Y,663,689,1,4,2010,158000
OneFam,Y,844,887,2,3,2006,248500
OneFam,Y,1621,0,2,3,2009,213000
OneFam,Y,1152,0,1,3,2008,137500
OneFam,Y,1044,1054,2,4,2010,240000
OneFam,Y,912,1182,2,4,2009,263000
OneFam,Y,1057,977,2,3,2009,219500
OneFam,Y,1053,939,2,3,2008,250000
OneFam,Y,1284,885,2,3,2007,228500
OneFam,Y,1350,0,1,3,2006,146000
OneFam,Y,1479,0,2,3,2008,191000
OneFam,N,797,0,1,2,2009,44000
OneFam,Y,818,818,1,4,2006,167000
Duplex,Y,912,912,2,4,2010,139000
Duplex,Y,980,0,2,4,2006,127500
OneFam,Y,698,0,1,2,2009,118000
OneFam,Y,1726,0,2,3,2007,311872
OneFam,Y,955,919,2,3,2008,297900
OneFam,Y,1268,1097,2,3,2009,337000
OneFam,Y,744,630,2,3,2009,170000
OneFam,Y,912,336,1,2,2007,87000
OneFam,Y,1362,0,1,3,2009,140000
OneFam,Y,894,0,1,3,2007,110000
OneFam,Y,1407,985,2,3,2006,348000
OneFam,Y,1014,730,2,3,2010,194500
OneFam,Y,1422,0,1,3,2007,155000
OneFam,Y,1024,704,1,3,2006,137000
OneFam,Y,1080,0,1,3,2008,136000
OneFam,Y,840,915,2,3,2006,214000
OneFam,Y,1128,903,2,3,2008,237000
OneFam,Y,892,0,1,3,2008,110000
OneFam,Y,888,756,1,3,2007,146500
Duplex,Y,1866,0,2,4,2009,135000
OneFam,Y,940,750,2,3,2007,187000
OneFam,N,1054,0,1,3,2008,124000
OneFam,Y,958,620,1,3,2006,133000
OneFam,Y,968,408,1,3,2007,105000
OneFam,Y,1394,0,1,3,2009,159000
OneFam,Y,1127,850,1,4,2007,165000
OneFam,Y,1344,0,1,2,2007,144000
OneFam,Y,884,1151,2,3,2010,222500
OneFam,Y,1207,0,1,3,2006,147000
OneFam,Y,960,1358,2,3,2006,294323
OneFam,Y,930,0,1,2,2008,99000
OneFam,Y,1646,0,2,3,2008,293077
OneFam,Y,1172,0,1,3,2010,128000
OneFam,Y,1099,0,1,3,2008,144000
OneFam,Y,1216,639,2,4,2006,136900
OneFam,Y,1068,541,1,5,2006,149900
OneFam,Y,882,914,2,3,2007,211000
OneFam,Y,1647,0,1,3,2007,153000
OneFam,Y,1210,0,1,2,2009,102900
OneFam,Y,926,678,2,3,2008,195500
OneFam,Y,1458,0,1,3,2006,165000
OneFam,Y,1502,0,2,3,2009,233170
OneFam,Y,845,845,2,3,2007,190550
OneFam,Y,1205,1029,2,3,2006,300000
OneFam,Y,1594,0,2,2,2007,188500
OneFam,Y,941,888,2,3,2010,237000
OneFam,Y,961,756,1,3,2006,140000
OneFam,Y,1065,846,2,3,2006,215000
Duplex,Y,1100,1133,2,5,2007,141000
OneFam,Y,1187,0,2,3,2007,160000
OneFam,Y,864,0,1,3,2006,128500
OneFam,Y,1144,0,1,3,2010,129000
OneFam,Y,1073,0,1,2,2009,121500
OneFam,Y,1276,0,1,3,2009,60000
OneFam,Y,1509,0,1,3,2008,159900
OneFam,Y,1453,1357,2,4,2007,302000
OneFam,Y,885,297,1,3,2006,120000
OneFam,Y,1166,0,2,2,2008,190000
OneFam,Y,1482,1092,2,3,2007,276000
OneFam,Y,1146,0,2,3,2007,187500
OneFam,Y,1713,0,2,3,2009,274900
OneFam,Y,1143,1330,2,4,2007,317000
OneFam,Y,930,715,1,4,2010,171000
OneFam,Y,1232,0,1,3,2010,142250
OneFam,Y,1520,0,1,3,2010,153000
OneFam,N,930,636,2,3,2010,150000
OneFam,Y,1067,0,2,2,2010,128000
OneFam,Y,2524,0,2,4,2009,278000
OneFam,Y,1487,1012,2,4,2009,180500
OneFam,Y,1336,0,2,3,2009,163000
OneFam,Y,1568,0,1,3,2009,143000
OneFam,Y,1165,896,2,4,2009,168500
OneFam,Y,1041,0,1,3,2009,124500
OneFam,Y,1644,0,1,3,2009,167000
OneFam,Y,1050,0,1,2,2009,128900
OneFam,Y,1112,556,1,3,2009,140000
OneFam,Y,1113,0,1,3,2009,147000
OneFam,Y,1632,0,2,3,2009,139000
OneFam,Y,1200,0,1,3,2009,129900
OneFam,Y,833,677,2,3,2009,87500
OneFam,Y,976,332,1,2,2009,160000
OneFam,Y,1496,0,2,3,2008,141500
OneFam,Y,1032,220,1,3,2008,119000
OneFam,Y,1337,0,1,3,2008,141500
OneFam,Y,1661,0,1,3,2008,165500
OneFam,N,1134,924,1,3,2008,129500
OneFam,Y,689,689,2,3,2008,161000
OneFam,N,572,524,1,2,2008,79000
OneFam,Y,1094,761,2,3,2007,187000
OneFam,Y,1262,0,2,3,2007,181500
OneFam,Y,1242,0,1,3,2007,175500
OneFam,Y,1150,0,1,2,2007,144000
OneFam,Y,1254,0,1,3,2007,158500
OneFam,Y,893,0,1,2,2007,135000
OneFam,Y,768,664,2,2,2007,132000
OneFam,Y,842,630,1,3,2007,125000
OneFam,Y,1164,0,1,3,2006,140000
OneFam,Y,1051,0,1,3,2006,142000
OneFam,Y,1141,0,1,3,2006,158000
OneFam,Y,1433,0,1,3,2006,161000
OneFam,Y,1216,0,1,3,2006,135000
OneFam,Y,1226,442,1,3,2006,135000
OneFam,Y,940,476,1,3,2006,156500
OneFam,Y,832,809,1,3,2006,178000
OneFam,N,1095,679,2,4,2006,87000
OneFam,Y,1218,0,1,3,2009,159000
OneFam,Y,982,995,2,3,2007,250000
OneFam,Y,1336,0,1,3,2006,162000
OneFam,Y,1468,0,2,3,2009,244600
OneFam,Y,1285,0,2,3,2010,190000
OneFam,Y,1361,0,2,3,2008,193000
OneFam,Y,996,1004,2,3,2006,188000
OneFam,Y,808,785,2,3,2009,178000
OneFam,Y,1699,748,2,4,2010,169000
OneFam,Y,1117,0,1,3,2008,147000
OneFam,Y,1156,642,2,4,2007,137000
OneFam,Y,961,683,2,3,2007,185000
OneFam,Y,1334,0,2,2,2009,167900
OneFam,Y,819,784,1,4,2008,138000
OneFam,N,832,0,1,2,2010,12789
OneFam,Y,1606,0,2,3,2009,255900
OneFam,Y,1182,1017,2,3,2008,284500
OneFam,Y,1079,897,2,3,2006,286000
Duplex,Y,1967,0,2,6,2006,156500
OneFam,Y,983,890,1,4,2008,257076
Duplex,Y,1248,1296,2,6,2009,190000
OneFam,Y,1097,0,2,3,2010,152000
OneFam,Y,1113,858,2,3,2009,253000
OneFam,Y,879,0,1,3,2007,120000
OneFam,Y,1510,0,2,3,2010,178900
OneFam,Y,958,1142,2,3,2007,319500
OneFam,Y,1078,0,1,2,2010,142125
OneFam,Y,780,741,1,4,2009,146500
OneFam,Y,1366,581,2,3,2008,274000
OneFam,Y,1009,0,2,3,2007,160000
OneFam,Y,1008,0,1,2,2006,135000
OneFam,Y,1929,532,2,3,2010,197600
OneFam,Y,1043,0,1,2,2006,137000
