gender,yearsmarried,children,religiousness_5_is_very_and_1_is_anti,years_of_education,occupation_category_group,happiness_in_married_5_is_v_happy_and_1_is_v_unhappy,age_decade,has_affair,region,age
female,7,yes,3,17,5,3,30,1,SC,36.1
male,1.5,yes,2,14,2,4,30,1,PA,31.5
female,15,yes,4,14,1,2,40,1,NY,48.6
male,10,yes,3,14,5,4,30,1,NY,30
male,4,yes,1,20,6,3,30,1,NY,33.2
female,4,yes,2,16,5,3,20,1,PA,28.3
female,15,yes,3,14,4,3,40,1,NY,46.6
male,10,yes,5,20,6,5,20,1,NC,26.6
male,10,yes,2,20,6,2,30,1,NY,31.4
female,7,yes,1,14,3,3,20,1,NY,29.5
female,7,yes,4,12,1,2,20,1,NY,25
male,10,yes,2,14,4,4,30,1,PA,30.9
female,0.75,yes,2,12,1,3,10,1,PA,14.3
female,15,yes,3,18,5,4,30,1,SC,30.3
female,7,no,4,14,4,3,20,1,PA,21.8
male,7,yes,4,20,6,5,30,1,NY,32.1
male,4,yes,2,18,6,2,20,1,NC,24
female,1.5,yes,5,14,5,3,20,1,PA,22.8
female,15,no,3,17,5,1,30,1,WV,37.4
female,15,yes,2,12,1,2,40,1,WV,42.1
male,15,yes,3,20,5,4,40,1,PA,41.5
male,10,no,2,18,4,2,30,1,NC,39.6
female,15,yes,3,9,1,1,30,1,PA,36.1
male,15,yes,5,20,4,5,50,1,NY,57.7
male,15,yes,4,20,6,4,40,1,NC,40.9
female,15,yes,2,17,6,3,40,1,PA,40.1
male,15,yes,3,17,6,3,30,1,PA,31
male,15,yes,5,17,5,2,30,1,PA,35.3
male,10,yes,2,20,6,4,20,1,NY,26.5
male,15,yes,2,16,5,4,30,1,Oh,38.3
female,15,yes,1,14,5,2,30,1,NY,33.2
male,10,yes,3,17,6,3,30,1,PA,33.3
male,15,yes,4,18,5,1,30,1,Oh,31.7
female,1.5,no,2,17,5,5,20,1,PA,26.8
female,15,yes,2,17,5,2,40,1,NC,41.5
male,15,yes,2,17,5,4,30,1,PA,35.2
female,4,no,2,14,5,5,20,1,NY,22.8
female,10,yes,4,14,1,5,20,1,Oh,26.3
female,4,yes,3,16,1,3,20,1,NY,26.7
male,7,no,4,16,5,5,50,1,NC,53.8
female,4,yes,1,16,3,5,20,1,PA,20.9
female,15,yes,2,17,6,4,30,1,PA,33.2
female,4,no,1,17,3,1,20,1,NY,28.3
female,0.75,yes,2,12,3,5,10,1,PA,17.4
female,15,yes,5,18,5,4,30,1,PA,38.1
female,4,no,1,16,3,5,20,1,NY,29.9
male,4,yes,4,18,6,4,30,1,SC,34.1
female,1.5,yes,3,18,5,2,20,1,PA,22.9
female,15,yes,2,17,5,4,40,1,PA,45.7
male,7,yes,4,16,4,4,30,1,NY,36.6
male,15,no,3,14,6,2,30,1,WV,36
male,15,yes,3,16,6,3,40,1,PA,46.5
male,4,yes,1,18,5,4,20,1,NY,22.8
male,15,yes,4,20,7,3,30,1,NY,33.7
male,15,yes,3,20,6,4,30,1,WV,37.3
male,1.5,no,2,12,3,3,20,1,PA,25.6
male,4,yes,3,20,6,2,30,1,NY,30.5
male,15,yes,5,20,6,5,30,1,NC,35.5
female,15,yes,1,18,5,5,50,1,NY,56.4
male,15,no,1,18,6,5,40,1,SC,45.4
female,15,yes,4,16,4,4,30,1,NY,39.7
female,15,yes,3,14,3,2,30,1,PA,36.1
female,7,yes,4,16,1,2,20,1,PA,22.9
male,15,yes,3,18,6,2,40,1,PA,41.8
female,15,yes,2,14,3,2,40,1,PA,41.5
male,7,yes,2,17,5,4,20,1,NY,20.4
male,10,yes,4,14,4,3,30,1,PA,30.6
male,15,yes,3,16,4,2,40,1,SC,49.7
male,1.5,yes,1,12,2,5,20,1,SC,26.3
female,10,yes,2,18,5,4,30,1,NC,38.3
male,10,yes,2,17,6,5,30,1,SC,31.7
male,7,yes,3,18,6,2,20,1,NY,29.8
female,15,yes,3,14,1,5,30,1,PA,39.6
